라아, 43, 183
차사, 62, 153
라아, 52, 151
파하, 58, 146
파다, 81, 177
파카, 71, 197
다차, 70, 174
마카, 81, 198
타하, 53, 156
파사, 90, 177
나다, 82, 156
다나, 94, 161
하다, 89, 165
가다, 40, 174
사하, 43, 158
카차, 82, 151
마차, 94, 165
가다, 67, 186
아카, 84, 169
차아, 85, 159
아타, 62, 167
사아, 70, 168
마파, 72, 154
나바, 88, 164
차마, 46, 185
아파, 84, 193
자타, 64, 184
자카, 86, 186
라나, 50, 176
카사, 65, 144
사사, 95, 187
가하, 74, 140
차라, 42, 168
자아, 82, 197
가가, 77, 194
타가, 76, 182
사나, 63, 168
타아, 78, 186
하하, 86, 167
아차, 89, 143
다나, 92, 190
다바, 96, 176
자파, 90, 162
차나, 41, 178
사하, 82, 140
파라, 78, 172
나타, 54, 180
다마, 58, 175
아하, 77, 142
자마, 56, 187
자차, 70, 147
하바, 62, 157
자라, 49, 140
다나, 92, 153
라나, 95, 170
바라, 88, 173
하하, 87, 198
가바, 75, 186
파나, 42, 177
카바, 99, 145
자타, 57, 169
라가, 63, 175
사라, 90, 169
나하, 45, 190
타마, 52, 145
마바, 92, 183
아가, 94, 180
사타, 47, 144
파가, 97, 171
아가, 58, 159
나타, 63, 199
하나, 60, 163
라타, 52, 186
마카, 57, 158
차사, 86, 180
다하, 71, 188
사카, 93, 146
가나, 62, 182
자자, 43, 153
파아, 80, 163
타자, 60, 151
타가, 43, 150
파마, 47, 184
나파, 96, 152
나아, 50, 140
자차, 83, 197
타가, 52, 148
사바, 86, 150
아나, 45, 162
나아, 41, 188
바라, 97, 151
카하, 42, 179
나바, 48, 193
마파, 60, 188
아가, 99, 140
파파, 64, 151
자가, 59, 185
라하, 83, 170
가타, 50, 174
마카, 87, 156
아자, 73, 196
아사, 73, 192
파아, 47, 159
하가, 86, 156
다사, 97, 169
자마, 79, 162
가타, 80, 159
자차, 66, 154
마하, 74, 159
타아, 93, 191
라하, 89, 195
하바, 66, 142
파파, 85, 172
나다, 78, 191
사나, 78, 182
아다, 50, 162
사나, 53, 148
카마, 46, 167
다가, 52, 185
차카, 41, 168
마사, 74, 145
카자, 85, 158
차하, 89, 166
아다, 66, 150
타파, 87, 160
타가, 72, 195
마차, 96, 190
나타, 74, 189
파카, 41, 177
다자, 46, 197
타타, 43, 163
자사, 62, 198
사다, 65, 176
차자, 87, 173
아카, 72, 170
타마, 59, 186
가마, 62, 194
아자, 82, 182
차아, 91, 156
카파, 50, 160
카마, 75, 143
자라, 91, 148
타사, 91, 176
하다, 80, 157
카가, 64, 185
자사, 59, 161
라타, 96, 164
사타, 56, 153
바마, 52, 158
라가, 63, 157
나사, 42, 175
나하, 77, 149
바카, 48, 184
파타, 59, 159
마다, 61, 178
사바, 92, 180
가아, 61, 145
파차, 51, 141
마타, 72, 152
아타, 76, 146
다타, 43, 170
타아, 55, 167
파다, 72, 160
가사, 59, 182
사파, 78, 150
나차, 99, 165
타바, 79, 163
카가, 45, 179
타사, 72, 188
파다, 63, 173
타바, 57, 146
사차, 65, 159
하카, 55, 189
나하, 72, 192
바타, 94, 144
하라, 55, 195
라바, 47, 162
가가, 67, 169
마아, 43, 153
라자, 85, 153
파마, 80, 195
바사, 78, 170
카나, 63, 167
가자, 71, 143
바나, 49, 163
마사, 56, 194
마사, 86, 180
다바, 64, 163
나타, 69, 180
하자, 79, 156
카하, 80, 149
하나, 42, 197
차자, 95, 150
자다, 95, 166
하차, 43, 154
타카, 50, 149
다다, 50, 199
라나, 69, 182
카차, 43, 161
나바, 92, 185
라자, 77, 146
사하, 69, 154
카가, 45, 153
바아, 91, 195
파차, 48, 146
타사, 51, 162
차가, 45, 190
바하, 81, 154
아라, 93, 144
자가, 58, 195
자다, 70, 173
사바, 92, 167
다파, 57, 141
가자, 47, 165
라사, 78, 160
마타, 61, 184
가라, 40, 181
타하, 81, 160
아타, 46, 177
타타, 54, 154
자가, 66, 153
타나, 74, 148
바가, 84, 162
카라, 45, 193
차아, 74, 153
마나, 57, 172
사카, 84, 184
카마, 99, 157
타바, 92, 188
다파, 60, 141
카타, 44, 160
차라, 80, 146
마파, 76, 193
타나, 82, 195
가카, 70, 157
라자, 93, 150
차사, 55, 147
다카, 52, 160
파나, 55, 175
마라, 80, 147
라차, 54, 151
나바, 52, 145
가바, 72, 185
바사, 50, 180
마타, 53, 150
사카, 72, 141
차마, 91, 162
다라, 84, 167
차나, 55, 188
가아, 92, 146
다마, 73, 166
타아, 97, 167
타마, 45, 161
자파, 43, 167
타바, 42, 178
사타, 56, 141
차바, 83, 140
하사, 98, 184
마나, 51, 141
하차, 66, 146
타사, 50, 157
자나, 63, 159
타카, 66, 159
라자, 59, 195
다바, 44, 148
사다, 55, 195
차자, 52, 146
차가, 72, 162
차하, 42, 161
자마, 62, 174
자파, 64, 167
바다, 80, 143
타아, 44, 182
파아, 45, 169
나타, 65, 155
다타, 58, 166
가다, 65, 170
하파, 87, 172
가차, 83, 153
카아, 94, 165
나다, 72, 187
파아, 66, 143
나카, 47, 197
카차, 98, 145
하라, 41, 186
나다, 82, 143
차아, 98, 177
자가, 69, 140
나파, 65, 151
바사, 48, 175
하하, 44, 163
하아, 49, 185
마사, 76, 141
사나, 91, 181
하마, 92, 195
하자, 51, 178
가자, 67, 172
라마, 59, 185
자타, 66, 186
파타, 47, 152
타차, 64, 163
파다, 56, 189
사바, 82, 198
아차, 71, 162
사파, 95, 172
파바, 62, 141
가파, 53, 162
바가, 43, 181
마아, 96, 173
다파, 53, 164
마타, 90, 141
가나, 53, 165
카마, 55, 140
바카, 92, 186
사차, 62, 181
라마, 65, 194
사바, 89, 195
다가, 68, 161
차하, 61, 149
하하, 75, 157
아사, 63, 168
카파, 70, 158
아라, 82, 151
파타, 59, 156
차다, 48, 181
아파, 75, 148
라하, 78, 176
카가, 61, 159
차타, 41, 183
차카, 59, 162
파나, 97, 167
카파, 52, 196
사자, 42, 185
사나, 82, 189
아하, 49, 157
파라, 46, 195
나바, 98, 142
라카, 71, 186
사마, 63, 164
라바, 50, 190
자가, 59, 162
다바, 80, 179
사카, 60, 177
파차, 93, 190
자파, 91, 143
자바, 70, 191
타자, 81, 181
하파, 95, 199
카자, 75, 146
마라, 68, 184
카자, 66, 178
하타, 75, 163
하자, 70, 195
